"id","country","age","gender","ses","fses","religion","married","education","ethnicity","IGF01","IGF02","IGF03","IGI01","IGI02","IGI03","OGF01","OGF02","OGF03","OGI01","OGI02","OGI03","ENDBCL01","ENDBCL02","ENDBCL03","ENDBBL01","ENDBBL02","ENDBBL03","empathic_concern_01","empathic_concern_02","empathic_concern_03","perspective_taking_01","perspective_taking_02","perspective_taking_03","perspective_taking_04","event_positive_affect","event_negative_affect","event_episodic_recall_01","event_episodic_recall_02","event_shared_perception_01","event_shared_perception_02","event_reflection_01","event_reflection_02","event_transformative_indiv_01","event_transformative_indiv_02","event_transformative_group_01","event_transformative_group_02","religious_freedom_per_01","religious_freedom_per_02","religious_freedom_per_03","religious_freedom_per_04","religious_freedom_per_05","religious_freedom_per_06","religious_freedom_per_07","religious_freedom_per_08","religious_freedom_exp_01","religious_freedom_exp_02","religious_freedom_exp_03","religious_freedom_exp_04","religious_freedom_exp_05","religious_freedom_exp_06","sd_score"
"GMB1","Gambia",50,"Male",NA,NA,NA,NA,"","",6,7,2,6,6,6,6,6,6,6,5,5,6,6,7,6,7,7,6,6,5,6,6,6,6,6,7,5,2,6,6,6,2,7,2,6,2,6,1,7,6,7,7,7,1,5,7,5,7,5,5,1.83711730708738
"GMB2","Gambia",55,"Male","Middle",2,"Muslim: Sunni","Married","Seconary 4","Mandinka",7,7,7,7,7,6,1,2,3,1,2,1,7,6,5,1,1,2,7,1,7,7,6,5,4,1,7,3,4,7,4,2,2,1,1,7,1,7,1,7,7,7,7,NA,6,7,7,7,7,7,7,2.59563457377569
"GMB3","Gambia",35,"Male","Middle",2,"Muslim: Sunni","Married","Higher Diploma in Education (HDC)","Mandinka",7,NA,6,6,6,6,2,2,2,2,2,2,2,6,6,6,NA,6,6,6,6,6,6,6,5,7,1,5,6,4,4,3,3,7,2,7,1,2,2,6,6,6,6,6,6,7,7,7,7,7,7,2.0070223038468
"GMB4","Gambia",66,"Male","Upper",4,"Muslim: Sunni","Married","","Mandinka",7,7,7,7,6,7,5,1,1,1,1,2,7,7,7,1,7,1,7,1,7,7,7,6,6,2,7,7,7,5,5,7,7,7,1,6,4,7,2,7,7,7,7,6,6,1,7,7,4,1,1,2.18028052974974
"GMB5","Gambia",31,"Male","Middle",2,"Muslim: Sunni","Married","Isachetovs Degree","Fula",6,7,5,6,6,7,2,2,1,3,5,5,7,6,6,5,6,4,6,6,6,6,5,6,5,2,5,5,4,6,6,3,2,5,2,6,1,6,3,7,6,6,6,6,7,7,7,7,6,7,7,1.74247866100506
"GMB6","Gambia",24,"Female","Middle",2,"Muslim: Sunni","Unmarried","Diploma","Jola",5,4,4,6,6,6,2,2,2,6,6,6,6,5,6,6,2,5,7,7,7,7,7,1,1,6,1,4,6,6,3,6,2,6,2,6,2,6,6,6,5,2,6,6,6,7,7,7,7,7,7,1.7147062113681
"GMB7","Gambia",27,"Female","Middle",2,"Muslim: Sunni","Married","WASSCE","Jola",7,6,4,6,7,6,4,2,2,3,2,2,6,2,6,6,6,6,6,6,1,2,2,2,2,5,2,6,6,7,6,5,2,6,2,6,3,6,6,6,6,2,6,6,6,7,7,7,7,7,7,1.68540194320077
"GMB8","Gambia",29,"Male","Upper middle",3,"Muslim: Sunni","Married","Diploma in ICT","Jola",6,5,4,6,6,6,2,2,1,2,1,1,6,6,5,5,5,5,6,5,5,5,5,5,4,6,2,7,7,7,6,6,4,6,3,6,4,4,3,6,6,5,6,6,6,6,7,7,6,6,6,1.24455335099716
"GMB9","Gambia",30,"Male","Middle",2,"Muslim: Sunni","Married","Diploma in Community Policing","Mandinka",6,5,4,6,6,6,2,2,2,2,2,2,6,6,6,5,5,5,7,6,6,6,6,6,5,5,6,5,6,6,6,3,3,5,3,6,3,6,2,6,6,6,6,6,6,6,6,6,6,6,6,1.11560083246263
"GMB10","Gambia",22,"Male","Middle",2,"Muslim: Sunni","Unmarried","WASSCE","Mandinka",6,6,5,6,6,6,2,2,2,2,2,2,6,6,5,5,5,5,6,7,5,5,5,5,5,5,5,6,6,6,5,2,2,3,2,5,2,6,2,6,6,5,5,6,6,6,6,6,7,6,6,1.46455711265621
