id,country,age,gender,ses,fses,religion,married,education,ethnicity,IGF01,IGF02,IGF03,IGI01,IGI02,IGI03,OGF01,OGF02,OGF03,OGI01,OGI02,OGI03,ENDBCL01,ENDBCL02,ENDBCL03,ENDBBL01,ENDBBL02,ENDBBL03,empathic_concern_01,empathic_concern_02,empathic_concern_03,perspective_taking_01,perspective_taking_02,perspective_taking_03,perspective_taking_04,event_positive_affect,event_negative_affect,event_episodic_recall_01,event_episodic_recall_02,event_shared_perception_01,event_shared_perception_02,event_reflection_01,event_reflection_02,event_transformative_indiv_01,event_transformative_indiv_02,event_transformative_group_01,event_transformative_group_02,religious_freedom_per_01,religious_freedom_per_02,religious_freedom_per_03,religious_freedom_per_04,religious_freedom_per_05,religious_freedom_per_06,religious_freedom_per_07,religious_freedom_per_08,religious_freedom_exp_01,religious_freedom_exp_02,religious_freedom_exp_03,religious_freedom_exp_04,religious_freedom_exp_05,religious_freedom_exp_06,history_discrimination,freq_positive_contact,freq_negative_contact,fight_outgroup,og_host_01,og_host_02,og_hostility,og_coop_01,og_coop_02,og_cooperation,NegativeToPositive,HostileToFriendly,SuspiciousToTrusting,ContemptToRespect,ThreatenedToRelaxed,og_affect
UGA1,Uganda,23,Female,Lower middle,1,Other,Married,Secondary,munyole,6,7,7,6,5,4,6,6,,6,5,5,6,5,6,6,5,6,6,6,6,6,5,6,6,1,6,7,6,6,6,5,4,3,7,6,6,6,2,6,6,7,6,6,6,7,7,3,7,2,5,6,4,1,7,6,6,6,5,3,4,1,4,5,5,2,3.4
UGA2,Uganda,23,Male,Lower middle,1,Other,Married,None,Musoga,2,5,,3,,5,,5,4,4,5,6,1,2,2,7,7,2,2,1,6,7,6,6,6,6,2,7,6,2,2,3,4,7,6,5,6,2,2,7,2,6,7,7,7,7,7,5,7,6,7,6,4,1,3,2,1,1.5,2,6,4,1,3,2,6,3,3
UGA3,Uganda,37,Male,Lower middle,1,Other,Married,Primary,Itesot,6,6,6,6,6,6,2,2,2,2,2,2,4,6,4,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,4,5,5,3,6,2,2,2,3,6,4.5,6,6,6,4,7,3,5,5,4.8
UGA4,Uganda,32,Male,Lower middle,1,Other,Not married,Vocational,Jupadollah,7,7,6,6,6,6,1,1,1,2,2,2,4,2,7,7,7,4,6,6,6,6,6,6,6,6,1,6,7,6,6,4,4,5,6,7,4,7,2,6,6,6,6,6,6,7,7,4,3,4,7,6,2,2,2,6,7,6.5,5,4,4.5,1,5,5,4,7,4.4
UGA5,Uganda,47,Male,Lower middle,1,Muslim: Sunni,Married,Primary,Jap,7,7,5,,6,6,2,1,2,1,1,1,5,4,5,6,5,4,2,6,6,4,4,4,2,7,1,7,7,7,7,6,7,7,7,6,6,6,4,6,6,6,6,6,6,5,4,4,4,4,4,2,2,5,2,2,2,2,6,5,5.5,3,4,3,3,7,4
UGA6,Uganda,68,Male,Lower middle,1,Christian: Catholic,Married,Tertiary,Acholi,5,7,7,3,6,6,3,3,3,,4,4,7,6,7,6,5,1,7,6,7,7,7,7,7,1,7,7,7,7,7,7,6,7,7,7,7,7,4,6,7,4,4,7,1,1,7,7,4,2,2,2,4,1,1,2,2,2,6,6,6,1,5,5,6,4,4.2
UGA7,Uganda,36,Male,Middle,2,Christian: Protestant,Married,Tertiary,Etesot,6,5,4,6,5,5,1,1,1,1,1,1,7,7,7,6,2,2,7,2,6,2,5,6,6,1,7,7,7,6,5,6,6,6,7,1,2,7,1,6,6,6,6,6,1,7,7,7,7,5,4,7,1,1,6,2,3,2.5,5,5,5,2,2,4,6,4,3.6
UGA8,Uganda,34,Male,Lower middle,1,Christian: Protestant,Married,University,langi,6,6,6,6,6,6,2,2,2,1,2,2,6,2,6,2,6,6,6,3,7,6,6,6,6,6,4,6,7,5,6,6,6,7,7,5,6,7,1,6,6,6,6,7,7,7,7,7,7,7,7,6,1,6,7,6,5,5.5,1,2,1.5,1,1,1,1,1,1
UGA9,Uganda,34,Female,Lower middle,1,Christian: Protestant,Married,Primary,Atesot,6,6,6,5,,6,2,2,2,2,2,2,6,6,6,6,6,6,4,4,4,4,3,5,5,6,2,7,7,4,4,7,6,7,7,4,2,6,1,7,7,7,7,6,1,7,7,7,7,7,7,2,1,1,2,3,4,3.5,1,2,1.5,2,4,4,4,4,3.6
UGA10,Uganda,32,Male,Lower middle,1,Christian: Protestant,Married,Vocational,Etesot,7,7,7,6,6,6,1,1,2,2,2,1,6,6,2,5,5,5,6,2,6,5,4,4,5,7,1,7,6,7,7,6,6,7,6,6,6,7,1,6,6,6,2,6,6,7,7,4,4,7,7,4,2,2,1,4,4,4,2,2,2,1,4,2,1,4,2.4
UGA11,Uganda,61,Female,Lower middle,1,Christian: Catholic,Married,None,Nilotic,6,6,6,6,6,6,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,5,5,7,7,7,7,7,7,2,6,6,2,2,2,2,6,6,6,5,5,5,7,5,5.4
UGA12,Uganda,52,Male,Middle,2,Muslim: Sunni,Married,Primary,mugishu,6,6,6,6,6,6,1,1,1,1,1,1,6,6,6,6,6,6,2,6,6,6,6,6,6,6,1,6,7,7,6,7,6,6,6,6,6,6,2,6,6,6,6,6,6,7,7,7,7,7,7,4,3,3,2,2,4,3,6,6,6,3,5,1,5,3,3.4
UGA13,Uganda,51,Female,Upper middle,3,Christian: Catholic,Married,University,Japadollah,6,6,6,3,2,5,4,4,3,1,1,1,2,3,3,5,5,5,6,2,6,6,6,6,6,7,1,7,7,7,6,6,6,6,6,6,6,6,2,5,5,5,5,6,3,7,7,7,7,7,7,2,1,1,3,3,3,3,2,2,2,2,3,4,4,3,3.2
UGA14,Uganda,19,"",Lower middle,1,Christian: Protestant,Married,Primary,Jupadollah,6,6,6,6,6,6,4,4,4,3,3,3,7,7,7,7,7,7,7,7,6,6,6,6,6,7,1,7,7,7,7,6,4,6,6,7,6,6,2,6,7,6,7,7,7,7,7,7,7,2,2,1,4,4,1,1,1,1,6,6,6,5,5,5,5,4,4.8
UGA15,Uganda,34,Male,Lower middle,1,Christian: Catholic,Married,Primary,Nilohamites,6,7,7,6,6,6,2,2,2,3,3,3,6,6,7,7,7,6,6,6,6,6,6,5,5,6,7,7,7,7,6,6,6,6,6,6,6,6,2,6,6,6,6,6,7,7,7,7,7,7,7,1,5,4,1,1,1,1,6,6,6,5,5,5,5,4,4.8
UGA16,Uganda,48,Male,Middle,2,Christian: Protestant,Married,University,japadollah,7,7,4,7,7,5,4,4,4,4,4,1,7,7,7,7,7,7,6,6,6,6,6,6,6,2,7,7,7,1,1,7,7,6,6,1,1,6,6,6,4,7,7,7,7,7,7,4,7,4,4,7,2,3,1,7,7,7,4,4,4,2,4,4,5,5,4
UGA17,Uganda,76,Male,Lower middle,1,Christian: Catholic,Married,Primary,Adhola,6,6,4,5,6,6,4,3,3,4,6,4,5,6,6,5,5,3,7,4,6,6,6,4,3,5,2,6,6,5,6,6,6,7,5,6,4,6,3,5,6,7,6,,,7,7,7,5,2,3,5,5,2,2,3,2,2.5,5,4,4.5,4,5,5,4,5,4.6
UGA18,Uganda,18,Female,Middle,2,Christian: Catholic,Not married,Primary,muganda,7,7,7,7,7,7,5,5,5,5,5,5,6,6,6,6,6,6,7,6,7,7,7,7,7,2,7,7,7,1,1,6,6,7,7,1,1,7,6,7,7,7,7,6,6,7,7,7,7,7,7,6,4,4,1,1,1,1,6,6,6,4,4,4,4,4,4
UGA19,Uganda,56,Male,Lower middle,1,Christian: Protestant,Married,Primary,munyole,7,7,7,7,7,7,1,1,1,1,1,2,6,6,5,5,2,4,7,2,6,6,6,6,5,6,2,6,6,6,6,6,5,7,7,6,7,3,1,6,6,6,6,6,1,7,7,7,7,7,7,,2,1,6,7,7,7,5,5,5,1,2,4,6,5,3.6
UGA20,Uganda,48,Male,Lower middle,1,Other,Married,Tertiary,Etesot,7,7,7,6,7,7,3,2,4,2,2,1,6,5,6,1,1,1,6,1,7,6,6,6,7,7,2,7,7,6,6,6,6,6,7,7,6,7,1,7,7,7,1,7,7,7,7,7,4,3,3,6,1,2,3,3,6,4.5,5,6,5.5,1,5,3,7,2,3.6
